#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Item_info|condition|item_id|latinsqr_list|unique_id
#T_SP=webanno.custom.Ref_info|PersonalPronouns_detailed|ref_def|ref_function|ref_gender|ref_num
#T_SP=webanno.custom.Segment|complex|segment_type
#T_SP=webanno.custom.Sent_layer|feedback_id|item0_verb|item0_verbtype|openq_id|openq_type|sent_type
#T_SP=webanno.custom.Speaker_meta|age|gender|speaker_id
#T_SP=webanno.custom.Speaker_name|speaker_name
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=webanno.custom.Relations|discourse_rel|speechAct_rel|BT_webanno.custom.Segment


#Text=Na, wie läufts bei dir?
1-1	0-3	Na,	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[69]	Int[69]	*[201]	*[201]	*[201]	wh\_4[201]	wh\_question[201]	openq[201]	*[329]	male[329]	*[329]	speaker:Oskar[457]	_	_	QAP	*	2-1[70_69]	
1-2	4-7	wie	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[69]	Int[69]	*[201]	*[201]	*[201]	wh\_4[201]	wh\_question[201]	openq[201]	*[329]	male[329]	*[329]	speaker:Oskar[457]	_	_	_	_	_	
1-3	8-14	läufts	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[69]	Int[69]	*[201]	*[201]	*[201]	wh\_4[201]	wh\_question[201]	openq[201]	*[329]	male[329]	*[329]	speaker:Oskar[457]	_	_	_	_	_	
1-4	15-18	bei	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[69]	Int[69]	*[201]	*[201]	*[201]	wh\_4[201]	wh\_question[201]	openq[201]	*[329]	male[329]	*[329]	speaker:Oskar[457]	_	_	_	_	_	
1-5	19-23	dir?	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	2	*	*	*	singular	false[69]	Int[69]	*[201]	*[201]	*[201]	wh\_4[201]	wh\_question[201]	openq[201]	*[329]	male[329]	*[329]	speaker:Oskar[457]	*->94-1	PerPron[94]	_	_	_	

#Text=Jonathan hat im Haushalt geholfen
2-1	25-33	Jonathan	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	*	*	Subj	*	*	false[70]	Decl[70]	*[202]	helfen[202]	intransitive[202]	*[202]	*[202]	item0[202]	32[330]	female[330]	2em9nj6n4c2pjudl6n6hfpjc30[330]	speaker: YOU[458]	*->78-1	PropNm[78]	elaboration|CR	*|*	5-1[73_70]|3-1[71_70]	
2-2	34-37	hat	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[70]	Decl[70]	*[202]	helfen[202]	intransitive[202]	*[202]	*[202]	item0[202]	32[330]	female[330]	2em9nj6n4c2pjudl6n6hfpjc30[330]	speaker: YOU[458]	_	_	_	_	_	
2-3	38-40	im	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[70]	Decl[70]	*[202]	helfen[202]	intransitive[202]	*[202]	*[202]	item0[202]	32[330]	female[330]	2em9nj6n4c2pjudl6n6hfpjc30[330]	speaker: YOU[458]	*->71-1	DefNP[71]	_	_	_	
2-4	41-49	Haushalt	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	*[31]	*[31]	modifier[31]	*[31]	*[31]	false[70]	Decl[70]	*[202]	helfen[202]	intransitive[202]	*[202]	*[202]	item0[202]	32[330]	female[330]	2em9nj6n4c2pjudl6n6hfpjc30[330]	speaker: YOU[458]	*->71-1	DefNP[71]	_	_	_	
2-5	50-58	geholfen	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[70]	Decl[70]	*[202]	helfen[202]	intransitive[202]	*[202]	*[202]	item0[202]	32[330]	female[330]	2em9nj6n4c2pjudl6n6hfpjc30[330]	speaker: YOU[458]	_	_	_	_	_	

#Text=Wie bitte?
3-1	60-63	Wie	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[71]	NA[71]	wie-bitte\_question\_2[203]	*[203]	*[203]	*[203]	*[203]	feedback[203]	*[331]	male[331]	*[331]	speaker:Oskar[459]	_	_	parallel	*	4-1[72_71]	
3-2	64-70	bitte?	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[71]	NA[71]	wie-bitte\_question\_2[203]	*[203]	*[203]	*[203]	*[203]	feedback[203]	*[331]	male[331]	*[331]	speaker:Oskar[459]	_	_	_	_	_	

#Text=Ich war auch geschockt.
4-1	72-75	Ich	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	1	*	Subj	*	singular	false[72]	Decl[72]	*[204]	*[204]	*[204]	*[204]	*[204]	input1[204]	32[332]	female[332]	2em9nj6n4c2pjudl6n6hfpjc30[332]	speaker: YOU[460]	*->94-2	PerPron[94]	_	_	_	
4-2	76-79	war	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[72]	Decl[72]	*[204]	*[204]	*[204]	*[204]	*[204]	input1[204]	32[332]	female[332]	2em9nj6n4c2pjudl6n6hfpjc30[332]	speaker: YOU[460]	_	_	_	_	_	
4-3	80-84	auch	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[72]	Decl[72]	*[204]	*[204]	*[204]	*[204]	*[204]	input1[204]	32[332]	female[332]	2em9nj6n4c2pjudl6n6hfpjc30[332]	speaker: YOU[460]	_	_	_	_	_	
4-4	85-95	geschockt.	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[72]	Decl[72]	*[204]	*[204]	*[204]	*[204]	*[204]	input1[204]	32[332]	female[332]	2em9nj6n4c2pjudl6n6hfpjc30[332]	speaker: YOU[460]	_	_	_	_	_	

#Text=Er war sogar echt hilfreich!
5-1	97-99	Er	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	3	*	Subj	*	singular	false[73]	Decl[73]	*[205]	*[205]	*[205]	*[205]	*[205]	input2[205]	32[333]	female[333]	2em9nj6n4c2pjudl6n6hfpjc30[333]	speaker: YOU[461]	*->78-2	PerPron[78]	_	_	_	
5-2	100-103	war	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[73]	Decl[73]	*[205]	*[205]	*[205]	*[205]	*[205]	input2[205]	32[333]	female[333]	2em9nj6n4c2pjudl6n6hfpjc30[333]	speaker: YOU[461]	_	_	_	_	_	
5-3	104-109	sogar	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[73]	Decl[73]	*[205]	*[205]	*[205]	*[205]	*[205]	input2[205]	32[333]	female[333]	2em9nj6n4c2pjudl6n6hfpjc30[333]	speaker: YOU[461]	_	_	_	_	_	
5-4	110-114	echt	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[73]	Decl[73]	*[205]	*[205]	*[205]	*[205]	*[205]	input2[205]	32[333]	female[333]	2em9nj6n4c2pjudl6n6hfpjc30[333]	speaker: YOU[461]	_	_	_	_	_	
5-5	115-125	hilfreich!	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	false[73]	Decl[73]	*[205]	*[205]	*[205]	*[205]	*[205]	input2[205]	32[333]	female[333]	2em9nj6n4c2pjudl6n6hfpjc30[333]	speaker: YOU[461]	_	_	_	_	_	

#Text=END_OF_DOCUMENT
6-1	127-142	END_OF_DOCUMENT	GFailure[1]	helfen\_set1\_28[1]	latin2[1]	2em9nj6n4c2pjudl6n6hfpjc30-helfen\_set1\_28[1]	_	_	_	_	_	_	_	*	*	*	*	*	end	*	*	*	*	_	_	_	_	_	

#Text=Na, wie läufts bei dir?
